Hyp,Name,Score2,Score1
DOWN ,down/82b99576_nohash_0, -1460, -891
DOWN ,down/840c366d_nohash_0, -2255, -681
DOWN ,down/8494fba8_nohash_0, -2183, -971
DOWN ,down/84d1e469_nohash_0, -2210, -743
DOWN ,down/8625475c_nohash_0, -2516, -797
DOWN ,down/881583a6_nohash_0, -2104, -709
DOWN ,down/881583a6_nohash_1, -2474, -714
DOWN ,down/8a325749_nohash_0, -2146, -965
DOWN ,down/8ec6dab6_nohash_0, -1683, -811
DOWN ,down/8ec6dab6_nohash_1, -2105, -872
DOWN ,down/8ec6dab6_nohash_2, -1543, -762
DOWN ,down/8fe52b97_nohash_0, -1014, -798
DOWN ,down/90b94017_nohash_0, -3051, -1590
DOWN ,down/91223b83_nohash_0, -1473, -1145
DOWN ,down/94de6a6a_nohash_0, -1358, -3028
DOWN ,down/94de6a6a_nohash_1, -1438, -1053
 ,down/94de6a6a_nohash_2, -390, -2638
DOWN ,down/94de6a6a_nohash_3, -3623, -1448
DOWN ,down/94de6a6a_nohash_4, -3322, -820
DOWN ,down/95ba4996_nohash_0, -1670, -1055
DOWN ,down/95ba4996_nohash_1, -2060, -796
DOWN ,down/95ba4996_nohash_2, -1849, -1218
DOWN ,down/964e8cfd_nohash_0, -1534, -1182
DOWN ,down/964e8cfd_nohash_1, -2906, -1781
DOWN ,down/964e8cfd_nohash_2, -2271, -1168
DOWN ,down/964e8cfd_nohash_3, -2943, -1351
DOWN ,down/964e8cfd_nohash_4, -1854, -995
DOWN ,down/97f4c236_nohash_0, -2222, -921
DOWN ,down/97f4c236_nohash_1, -2061, -817
DOWN ,down/97f4c236_nohash_2, -1512, -1281
DOWN ,down/97f4c236_nohash_3, -835, -2056
DOWN ,down/97f4c236_nohash_4, -1568, -1530
DOWN ,down/9a356ab9_nohash_0, -3438, -871
DOWN ,down/9a356ab9_nohash_1, -3100, -869
DOWN ,down/9a69672b_nohash_0, -1484, -1463
DOWN ,down/9a69672b_nohash_1, -2313, -1221
DOWN ,down/9a69672b_nohash_2, -1639, -1028
DOWN ,down/9a69672b_nohash_3, -1779, -1210
DOWN ,down/9a69672b_nohash_4, -2686, -1291
DOWN ,down/9a7c1f83_nohash_0, -1653, -704
DOWN ,down/9a7c1f83_nohash_1, -1888, -691
DOWN ,down/9a7c1f83_nohash_2, -1653, -704
DOWN ,down/9a7c1f83_nohash_3, -1888, -691
DOWN ,down/9b3ea809_nohash_0, -2188, -784
DOWN ,down/9d4bab4f_nohash_0, -2613, -929
DOWN ,down/9dc1889e_nohash_0, -2677, -734
DOWN ,down/9dc1889e_nohash_1, -2765, -928
DOWN ,down/9e2ce5e3_nohash_0, -1555, -867
DOWN ,down/9e2ce5e3_nohash_1, -1551, -1014
DOWN ,down/a1533da4_nohash_0, -1929, -853
DOWN ,down/a1533da4_nohash_1, -2144, -857
DOWN ,down/a4e8a997_nohash_0, -2183, -2000
DOWN ,down/a4e8a997_nohash_1, -2226, -1160
DOWN ,down/a8e25ebb_nohash_0, -1230, -1321
DOWN ,down/aa233654_nohash_0, -3108, -964
DOWN ,down/aa233654_nohash_1, -2658, -1131
DOWN ,down/aa48c94a_nohash_0, -2533, -1606
DOWN ,down/ad6a46f1_nohash_0, -1567, -1857
DOWN ,down/adebe223_nohash_0, -1515, -1015
DOWN ,down/adebe223_nohash_1, -2109, -1098
DOWN ,down/af130f12_nohash_0, -1595, -865
DOWN ,down/af130f12_nohash_1, -2324, -847
DOWN ,down/af130f12_nohash_2, -1259, -701
DOWN ,down/af405b69_nohash_0, -2470, -937
DOWN ,down/af405b69_nohash_1, -2298, -948
DOWN ,down/af8b2f2c_nohash_0, -1648, -1089
DOWN ,down/af8b2f2c_nohash_1, -1773, -835
DOWN ,down/b2e2773a_nohash_0, -2418, -1626
DOWN ,down/b49caed3_nohash_0, -1633, -734
DOWN ,down/b49caed3_nohash_1, -3202, -1190
DOWN ,down/b49caed3_nohash_2, -2233, -1585
DOWN ,down/b49caed3_nohash_3, -1835, -1198
DOWN ,down/b49caed3_nohash_4, -2904, -1345
DOWN ,down/b83c1acf_nohash_0, -935, -2504
DOWN ,down/b83c1acf_nohash_1, -3471, -1442
DOWN ,down/b83c1acf_nohash_2, -2703, -775
DOWN ,down/b83c1acf_nohash_3, -2270, -1020
DOWN ,down/b83c1acf_nohash_4, -2718, -1217
DOWN ,down/b97c9f77_nohash_0, -2403, -842
DOWN ,down/b97c9f77_nohash_1, -3370, -1123
DOWN ,down/b97c9f77_nohash_2, -1703, -1446
DOWN ,down/b97c9f77_nohash_3, -1832, -1884
DOWN ,down/b97c9f77_nohash_4, -2101, -1021
DOWN ,down/bb31b82b_nohash_0, -1630, -803
DOWN ,down/bed06fac_nohash_0, -2564, -1710
DOWN ,down/c0e0f834_nohash_0, -2224, -792
DOWN ,down/c0e0f834_nohash_1, -1906, -700
DOWN ,down/c22d3f18_nohash_0, -2100, -1513
DOWN ,down/c22d3f18_nohash_1, -698, -1387
DOWN ,down/c22d3f18_nohash_2, -1479, -1245
DOWN ,down/c22d3f18_nohash_3, -1094, -992
DOWN ,down/c22d3f18_nohash_4, -1123, -1100
DOWN ,down/c518d1b1_nohash_0, -1722, -998
DOWN ,down/c7124b73_nohash_0, -2180, -806
DOWN ,down/c7124b73_nohash_1, -2791, -973
DOWN ,down/ca48dc76_nohash_0, -1985, -967
DOWN ,down/caedb73a_nohash_0, -1982, -805
UP ,down/cd85758f_nohash_0, -2481, -3300
DOWN ,down/cd85758f_nohash_1, -3344, -1337
DOWN ,down/cd85758f_nohash_2, -1577, -1499
DOWN ,down/cd85758f_nohash_3, -2406, -1196
DOWN OFF ,down/cd85758f_nohash_4, -3918, -1982
DOWN ,down/cfde27ba_nohash_0, -2742, -2451
DOWN ,down/d0faf7e4_nohash_0, -2309, -1118
DOWN ,down/d0faf7e4_nohash_1, -2204, -1680
DOWN ,down/d0faf7e4_nohash_2, -3032, -1099
DOWN ,down/d0faf7e4_nohash_3, -2278, -1526
DOWN ,down/d0faf7e4_nohash_4, -2560, -1039
DOWN ,down/d103dd6e_nohash_0, -2033, -911
DOWN ,down/d103dd6e_nohash_1, -1635, -865
DOWN ,down/d1a4fb3f_nohash_0, -1859, -1978
DOWN ,down/d5ca80c6_nohash_0, -2180, -780
DOWN ,down/d5ca80c6_nohash_1, -1928, -882
DOWN ,down/d91a159e_nohash_0, -2169, -689
DOWN ,down/daf230ac_nohash_0, -1978, -1561
DOWN ,down/daf230ac_nohash_1, -2322, -972
DOWN ,down/e1469561_nohash_0, -2476, -2070
DOWN ,down/e1469561_nohash_1, -2590, -1416
DOWN ,down/e1469561_nohash_2, -2408, -1273
DOWN ,down/e1469561_nohash_3, -3138, -1420
DOWN ,down/e1469561_nohash_4, -1899, -1261
DOWN ,down/e41a903b_nohash_0, -2645, -777
DOWN ,down/e41a903b_nohash_1, -2296, -895
DOWN ,down/e41a903b_nohash_2, -2254, -674
DOWN ,down/e41a903b_nohash_3, -2258, -946
DOWN ,down/e41a903b_nohash_4, -2309, -769
DOWN ,down/e71b4ce6_nohash_0, -2030, -1160
DOWN ,down/e71b4ce6_nohash_1, -1573, -961
DOWN ,down/e9901cf0_nohash_0, -1442, -1577
DOWN ,down/ef2a3cfb_nohash_0, -2162, -908
DOWN ,down/f264e0df_nohash_0, -2139, -987
DOWN ,down/f264e0df_nohash_1, -2114, -844
DOWN ,down/f297e878_nohash_0, -2968, -1394
DOWN ,down/f428ca69_nohash_0, -2317, -968
DOWN ,down/f5496439_nohash_0, -1994, -1102
DOWN ,down/f6af2457_nohash_0, -1555, -822
DOWN ,down/fa446c16_nohash_0, -2112, -1132
DOWN ,down/fce96bac_nohash_0, -2638, -906
DOWN ,down/ffa76c4a_nohash_0, -3027, -1013
GO ,go/022cd682_nohash_0, -1683, -893
GO ,go/022cd682_nohash_1, -1334, -697
GO ,go/0487ba9b_nohash_0, -2020, -2633
GO ,go/096456f9_nohash_0, -2331, -1782
GO ,go/096456f9_nohash_1, -2524, -1016
GO ,go/0c40e715_nohash_0, -1806, -977
GO ,go/0c40e715_nohash_1, -1662, -1137
OFF ,go/0d53e045_nohash_0, -1115, -2062
GO ,go/0d53e045_nohash_1, -1272, -1440
GO ,go/0ea0e2f4_nohash_0, -2256, -1032
GO ,go/0ea0e2f4_nohash_1, -2085, -1105
GO ,go/0f250098_nohash_0, -2083, -582
GO ,go/0fa1e7a9_nohash_0, -1916, -1027
GO ,go/0fa1e7a9_nohash_1, -1390, -849
GO ,go/135c6841_nohash_0, -1316, -1058
GO OFF ,go/1b4c9b89_nohash_0, -2318, -2270
GO ,go/1b4c9b89_nohash_1, -929, -1098
GO ,go/1b4c9b89_nohash_2, -925, -1227
GO ,go/1b4c9b89_nohash_3, -1770, -1585
GO ,go/1b4c9b89_nohash_4, -1228, -1377
GO ,go/1f3bece8_nohash_0, -1272, -1556
GO ,go/20d3f11f_nohash_0, -1650, -633
GO ,go/24ad3ebe_nohash_0, -2102, -1132
GO ,go/26b28ea7_nohash_0, -1748, -1498
GO ,go/26b28ea7_nohash_1, -1124, -1378
GO ,go/26b28ea7_nohash_2, -1469, -869
GO ,go/2796ac50_nohash_0, -1609, -638
GO ,go/2796ac50_nohash_1, -1812, -705
GO ,go/28497c5b_nohash_0, -1243, -1612
GO ,go/2d82a556_nohash_0, -1410, -909
GO ,go/2fa39636_nohash_0, -1166, -769
GO ,go/370844f7_nohash_0, -1775, -1074
GO ,go/370844f7_nohash_1, -1328, -1213
GO ,go/370844f7_nohash_2, -2094, -1115
GO OFF ,go/37dca74f_nohash_0, -3583, -1932
GO ,go/37dca74f_nohash_1, -2769, -1490
GO ,go/37dca74f_nohash_2, -2413, -1170
UP GO ,go/37dca74f_nohash_3, -2770, -1805
GO OFF ,go/37dca74f_nohash_4, -2644, -2269
GO ,go/37fc5d97_nohash_0, -1888, -746
GO ,go/3c165869_nohash_0, -1622, -725
GO ,go/3c165869_nohash_1, -1619, -1049
GO ,go/3df9a3d4_nohash_0, -2446, -1656
GO ,go/3df9a3d4_nohash_1, -2328, -2542
GO ,go/3f2b358d_nohash_0, -454, -1382
GO ,go/3f2b358d_nohash_1, -1891, -1657
GO ,go/3f2b358d_nohash_2, -409, -1519
GO ,go/3f2b358d_nohash_3, -1746, -419
GO ,go/412c675c_nohash_0, -1038, -855
GO ,go/422d3197_nohash_0, -1128, -891
GO ,go/4290ca61_nohash_0, -1713, -916
GO ,go/4290ca61_nohash_1, -2077, -584
GO ,go/4290ca61_nohash_2, -1229, -595
GO ,go/4290ca61_nohash_3, -1559, -798
GO ,go/43fc47a7_nohash_0, -1198, -859
GO ,go/44260689_nohash_0, -1727, -1603
DOWN ,go/44260689_nohash_1, -1912, -1238
GO ,go/4620dc14_nohash_0, -1720, -877
GO ,go/4845bb10_nohash_0, -1591, -972
GO ,go/48a8a69d_nohash_0, -1362, -736
GO ,go/4c4d2526_nohash_0, -1371, -1403
GO ,go/4c4d2526_nohash_1, -1961, -1312
GO ,go/50033893_nohash_0, -1563, -1088
GO ,go/553f1a79_nohash_0, -1847, -1307
GO ,go/553f1a79_nohash_1, -1652, -1261
GO ,go/553f1a79_nohash_2, -1706, -964
GO ,go/553f1a79_nohash_3, -1658, -873
GO ,go/563aa4e6_nohash_0, -1408, -1917
GO ,go/563aa4e6_nohash_1, -1476, -1533
GO ,go/563aa4e6_nohash_2, -2002, -1977
GO ,go/563aa4e6_nohash_3, -1680, -1821
GO ,go/563aa4e6_nohash_4, -1380, -1626
DOWN ,go/5828dfa2_nohash_0, -1833, -1706
GO ,go/5828dfa2_nohash_1, -973, -1103
GO ,go/5b1db3ee_nohash_0, -2280, -927
GO ,go/5c8af87a_nohash_0, -1971, -1969
GO ,go/5c8af87a_nohash_1, -2715, -845
GO ,go/5c8af87a_nohash_2, -3579, -1709
GO ,go/5c8af87a_nohash_3, -2202, -1053
GO ,go/5c8af87a_nohash_4, -2570, -736
GO ,go/5e3dde6b_nohash_0, -1687, -1574
DOWN ,go/5e3dde6b_nohash_1, -1862, -2594
GO ,go/5e3dde6b_nohash_2, -1624, -1129
GO ,go/5e3dde6b_nohash_3, -2267, -1186
GO ,go/5e3dde6b_nohash_4, -1844, -1344
GO ,go/5eb5fc74_nohash_0, -1212, -792
GO ,go/5eb5fc74_nohash_1, -1221, -1143
GO ,go/5ff3f9a1_nohash_0, -1050, -1562
GO ,go/5ff3f9a1_nohash_1, -2258, -952
GO ,go/6021f08b_nohash_0, -1383, -870
GO ,go/6021f08b_nohash_1, -1354, -880
GO ,go/6205088b_nohash_0, -1898, -1177
GO RIGHT ,go/6205088b_nohash_1, -3286, -3200
GO ,go/6205088b_nohash_2, -1770, -1025
GO ,go/62ff07ef_nohash_0, -2132, -758
GO ,go/62ff07ef_nohash_1, -1875, -985
GO ,go/653a48f5_nohash_0, -1937, -1208
GO ,go/68dd409e_nohash_0, -2008, -1234
GO ,go/68dd409e_nohash_1, -2140, -957
GO ,go/68dd409e_nohash_2, -1296, -905
GO ,go/692a88e6_nohash_0, -2315, -846
GO ,go/692a88e6_nohash_1, -1952, -1149
GO ,go/692a88e6_nohash_2, -2734, -943
GO ,go/692a88e6_nohash_3, -1440, -1087
GO ,go/692a88e6_nohash_4, -1946, -730
GO ,go/6b889021_nohash_0, -1355, -1150
GO ,go/6b889021_nohash_1, -1848, -1647
GO ,go/6e916de8_nohash_0, -1142, -1248
GO ,go/6f2f57c1_nohash_0, -1862, -709
GO ,go/7192fddc_nohash_0, -1809, -818
GO ,go/7192fddc_nohash_1, -1572, -1085
GO ,go/7257420c_nohash_0, -1801, -1503
GO ,go/782c1305_nohash_0, -1486, -1206
GO ,go/798f702a_nohash_0, -1918, -1006
DOWN ,go/798f702a_nohash_1, -1047, -1477
GO ,go/7bae88ed_nohash_0, -1516, -922
GO ,go/8056e897_nohash_0, -2173, -1128
GO ,go/8056e897_nohash_1, -1603, -848
GO ,go/8056e897_nohash_2, -1714, -1108
GO ,go/85834399_nohash_0, -2228, -1644
GO ,go/85834399_nohash_1, -1373, -1258
GO ,go/85834399_nohash_2, -1078, -760
GO ,go/881583a6_nohash_0, -1291, -1072
GO ,go/881583a6_nohash_1, -1150, -906
GO ,go/8db999cf_nohash_0, -1965, -1088
GO ,go/90b94017_nohash_0, -1305, -857
GO ,go/91223b83_nohash_0, -1743, -1183
GO ,go/91223b83_nohash_1, -1306, -926
GO ,go/91223b83_nohash_2, -1543, -1114
GO ,go/94de6a6a_nohash_0, -1952, -1885
GO ,go/94de6a6a_nohash_1, -1346, -1499
GO ,go/94de6a6a_nohash_2, -1673, -1568
GO ,go/94de6a6a_nohash_3, -2116, -1130
GO ,go/94de6a6a_nohash_4, -1477, -1536
GO ,go/95ba4996_nohash_0, -1818, -1758
GO ,go/964e8cfd_nohash_0, -1630, -1232
GO ,go/964e8cfd_nohash_1, -2558, -1353
GO ,go/964e8cfd_nohash_2, -2682, -1465
GO ,go/964e8cfd_nohash_3, -1160, -1423
GO ,go/964e8cfd_nohash_4, -2377, -1763
GO ,go/97f4c236_nohash_0, -2504, -957
GO ,go/97f4c236_nohash_1, -1248, -693
GO ,go/97f4c236_nohash_2, -2113, -913
GO ,go/97f4c236_nohash_3, -1815, -1272
GO ,go/97f4c236_nohash_4, -2604, -1410
GO ,go/9a69672b_nohash_0, -3207, -1377
GO ,go/9a69672b_nohash_1, -3504, -1364
GO ,go/9a69672b_nohash_2, -2830, -1529
GO ,go/9a69672b_nohash_3, -2684, -849
GO ,go/9a69672b_nohash_4, -2582, -1309
OFF GO ,go/9a7c1f83_nohash_0, -3461, -2913
OFF GO ,go/9a7c1f83_nohash_1, -3461, -2913
GO ,go/9a7c1f83_nohash_2, -1282, -1014
GO ,go/9a7c1f83_nohash_3, -1282, -1014
GO ,go/9a7c1f83_nohash_4, -1282, -1014
GO ,go/9d171fee_nohash_0, -1228, -866
GO ,go/9d171fee_nohash_1, -1286, -932
GO ,go/9d171fee_nohash_2, -965, -837
GO ,go/a1533da4_nohash_0, -2408, -1390
GO ,go/a2473d62_nohash_0, -1387, -700
GO ,go/a591c2ea_nohash_0, -1512, -816
GO ,go/a60a09cf_nohash_0, -1179, -829
GO ,go/a8e25ebb_nohash_0, -1612, -1482
GO ,go/aa233654_nohash_0, -1648, -1780
GO ,go/aa233654_nohash_1, -1915, -897
GO ,go/adebe223_nohash_0, -1324, -648
GO ,go/aef8dcf5_nohash_0, -1505, -741
GO ,go/af130f12_nohash_0, -2372, -733
GO ,go/af405b69_nohash_0, -1670, -1014
GO ,go/af7a8296_nohash_0, -1320, -1242
GO ,go/af8b2f2c_nohash_0, -1898, -833
GO ,go/af8b2f2c_nohash_1, -2607, -947
GO ,go/b1f8326d_nohash_0, -2273, -1343
GO ,go/b1f8326d_nohash_1, -1441, -1004
GO ,go/b1f8326d_nohash_2, -2665, -1271
GO ,go/b49caed3_nohash_0, -3144, -1396
GO ,go/b49caed3_nohash_1, -2687, -1152
GO ,go/b49caed3_nohash_2, -2629, -1778
GO ,go/b49caed3_nohash_3, -2726, -1269
GO ,go/b49caed3_nohash_4, -2437, -649
GO ,go/b737ee80_nohash_0, -1256, -606
GO ,go/b737ee80_nohash_1, -1242, -638
GO ,go/b737ee80_nohash_2, -1161, -687
GO ,go/b83c1acf_nohash_0, -2149, -858
GO ,go/b83c1acf_nohash_1, -2815, -927
GO ,go/b83c1acf_nohash_2, -2496, -1347
GO ,go/b83c1acf_nohash_3, -2035, -1178
UP GO ,go/b83c1acf_nohash_4, -930, -2351
GO RIGHT ,go/b97c9f77_nohash_0, -2894, -1965
 ,go/b97c9f77_nohash_1, -2266, -1338
GO ,go/b97c9f77_nohash_2, -1590, -1445
GO ,go/b97c9f77_nohash_3, -1607, -1170
GO ,go/b97c9f77_nohash_4, -2224, -1307
GO ,go/c0e0f834_nohash_0, -1395, -1029
GO ,go/c22d3f18_nohash_0, -1647, -1046
GO ,go/c22d3f18_nohash_1, -1091, -953
GO ,go/c22d3f18_nohash_2, -1100, -1646
GO ,go/c22d3f18_nohash_3, -1194, -1449
GO ,go/c22d3f18_nohash_4, -1055, -1373
GO ,go/c518d1b1_nohash_0, -1597, -814
GO ,go/c518d1b1_nohash_1, -1194, -751
GO ,go/c7124b73_nohash_0, -1936, -675
GO ,go/c781f251_nohash_0, -1458, -731
GO ,go/ca48dc76_nohash_0, -2348, -1270
GO ,go/ca48dc76_nohash_1, -1617, -907
GO ,go/cd85758f_nohash_0, -3227, -839
GO ,go/cd85758f_nohash_1, -3525, -1328
GO ,go/cd85758f_nohash_2, -3146, -1616
GO ,go/cd85758f_nohash_3, -3371, -1168
GO ,go/cd85758f_nohash_4, -2636, -864
GO ,go/d0faf7e4_nohash_0, -1963, -1076
GO ,go/d0faf7e4_nohash_1, -2463, -1055
GO ,go/d0faf7e4_nohash_2, -2061, -986
GO ,go/d0faf7e4_nohash_3, -2452, -1113
GO ,go/d0faf7e4_nohash_4, -1952, -1181
GO ,go/d103dd6e_nohash_0, -1249, -1188
GO ,go/d1a4fb3f_nohash_0, -1848, -1115
GO ,go/d5ca80c6_nohash_0, -1782, -1011
GO ,go/d5ca80c6_nohash_1, -2562, -1613
GO ,go/d7467392_nohash_0, -1209, -746
GO ,go/d91a159e_nohash_0, -1207, -1266
GO UP ,go/daf230ac_nohash_0, -2288, -1764
GO ,go/dc75148d_nohash_0, -1600, -1509
GO ,go/dc75148d_nohash_1, -968, -1218
GO ,go/e1469561_nohash_0, -1593, -1165
GO ,go/e1469561_nohash_1, -1504, -2204
GO ,go/e1469561_nohash_2, -2023, -1639
GO ,go/e1469561_nohash_3, -2598, -1563
GO ,go/e1469561_nohash_4, -2154, -1146
GO ,go/e41a903b_nohash_0, -1773, -628
GO ,go/e41a903b_nohash_1, -1767, -573
GO ,go/e41a903b_nohash_2, -1511, -869
GO ,go/e41a903b_nohash_3, -1689, -875
GO ,go/e41a903b_nohash_4, -1809, -750
GO ,go/e5e54cee_nohash_0, -1710, -1615
OFF GO ,go/e9901cf0_nohash_0, -2773, -3055
UP GO ,go/e9901cf0_nohash_1, -3006, -2367
GO ,go/ea356919_nohash_0, -1570, -824
GO ,go/ea356919_nohash_1, -2063, -1276
GO ,go/ea356919_nohash_2, -2008, -1131
DOWN ,go/f0ae7203_nohash_0, -2302, -1756
GO ,go/f264e0df_nohash_0, -1679, -743
GO ,go/f264e0df_nohash_1, -1926, -751
GO ,go/f292725f_nohash_0, -1426, -868
GO ,go/f297e878_nohash_0, -1993, -999
GO ,go/f428ca69_nohash_0, -1952, -1155
GO ,go/fa446c16_nohash_0, -1559, -1299
GO ,go/fa446c16_nohash_1, -2246, -816
GO ,go/fce96bac_nohash_0, -2265, -895
GO ,go/fe1916ba_nohash_0, -1893, -983
GO ,go/ffa76c4a_nohash_0, -1947, -939
LEFT ,left/022cd682_nohash_0, -3374, -1283
LEFT ,left/022cd682_nohash_1, -3522, -1466
LEFT ,left/0487ba9b_nohash_0, -2442, -1889
LEFT ,left/096456f9_nohash_0, -2801, -1217
LEFT ,left/096456f9_nohash_1, -2880, -1397
LEFT ,left/0d53e045_nohash_0, -1757, -1795
LEFT ,left/0d53e045_nohash_1, -1769, -2166
LEFT ,left/0ea0e2f4_nohash_0, -3056, -930
LEFT ,left/105a0eea_nohash_0, -3557, -1195
LEFT ,left/105a0eea_nohash_1, -4175, -1622
LEFT ,left/135c6841_nohash_0, -3023, -1007
